rsid	chrom	pos	symbol	gene_description	disease_names	rev_stat	sig	clinvar_id	source	text
rs1050450	chr3	49357401	GPX1	The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Other studies indicate that H2O2 is also essential for growth-factor mediated signal transduction, mitochondrial function, and maintenance of thiol redox-balance; therefore, by limiting H2O2 accumulation, glutathione peroxidases are also involved in modulating these processes. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme is the most abundant, is ubiquitously expressed and localized in the cytoplasm, and whose preferred substrate is hydrogen peroxide. It is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3&apos; UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. This gene contains an in-frame GCG trinucleotide repeat in the coding region, and three alleles with 4, 5 or 6 repeats have been found in the human population. The allele with 4 GCG repeats has been significantly associated with breast cancer risk in premenopausal women. Alternatively spliced transcript variants have been found for this gene. Pseudogenes of this locus have been identified on chromosomes X and 21. [provided by RefSeq, Aug 2017]	GLUTATHIONE PEROXIDASE POLYMORPHISM|not provided	criteria provided, single submitter	Benign	16082	https://www.ncbi.nlm.nih.gov/clinvar/variation/16082	rs1050450 is located in chr3 chromosome with position 49357401 which is in the gene GPX1. This gene has the following description: The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Other studies indicate that H2O2 is also essential for growth-factor mediated signal transduction, mitochondrial function, and maintenance of thiol redox-balance; therefore, by limiting H2O2 accumulation, glutathione peroxidases are also involved in modulating these processes. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme is the most abundant, is ubiquitously expressed and localized in the cytoplasm, and whose preferred substrate is hydrogen peroxide. It is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3&apos; UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. This gene contains an in-frame GCG trinucleotide repeat in the coding region, and three alleles with 4, 5 or 6 repeats have been found in the human population. The allele with 4 GCG repeats has been significantly associated with breast cancer risk in premenopausal women. Alternatively spliced transcript variants have been found for this gene. Pseudogenes of this locus have been identified on chromosomes X and 21. [provided by RefSeq, Aug 2017] This SNP can be associated with GLUTATHIONE PEROXIDASE POLYMORPHISM|not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs1050450has the following disease references: .|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/16082
rs1333049	chr9	22125504	TP53	This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]	Three Vessel Coronary Disease	no assertion criteria provided	risk factor	812642	https://www.ncbi.nlm.nih.gov/clinvar/variation/812642	rs1333049 is located in chr9 chromosome with position 22125504 which is in the gene TP53. This gene has the following description: This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016] This SNP can be associated with Three Vessel Coronary Disease. Those associations have risk factor clinical significance and have review status: no assertion criteria provided. rs1333049has the following disease references: MedGen:C3272265. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/812642
rs1043618	chr6	31815730	HSPA1A	This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008]	Chronic obstructive pulmonary disease	no assertion criteria provided	association	694516	https://www.ncbi.nlm.nih.gov/clinvar/variation/694516	rs1043618 is located in chr6 chromosome with position 31815730 which is in the gene HSPA1A. This gene has the following description: This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008] This SNP can be associated with Chronic obstructive pulmonary disease. Those associations have association clinical significance and have review status: no assertion criteria provided. rs1043618has the following disease references: Human Phenotype Ontology:HP:0006510,MONDO:MONDO:0005002,MedGen:C0024117. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/694516
rs2802292	chr6	108587315	FOXO3	This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008]	not provided	criteria provided, single submitter	Benign	1269978	https://www.ncbi.nlm.nih.gov/clinvar/variation/1269978	rs2802292 is located in chr6 chromosome with position 108587315 which is in the gene FOXO3. This gene has the following description: This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs2802292has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1269978
rs4946936	chr6	108682118	FOXO3	This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008]	not provided	criteria provided, single submitter	Benign	1272154	https://www.ncbi.nlm.nih.gov/clinvar/variation/1272154	rs4946936 is located in chr6 chromosome with position 108682118 which is in the gene FOXO3. This gene has the following description: This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs4946936has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1272154
rs1801270	chr6	36684194	CDKN1A	This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015]	CIP1/WAF1 TUMOR-ASSOCIATED POLYMORPHISM 1	no assertion criteria provided	Benign	17565	https://www.ncbi.nlm.nih.gov/clinvar/variation/17565	
rs4641	chr1	156137743	LMNA	The protein encoded by this gene is part of the nuclear lamina, a two-dimensional matrix of proteins located next to the inner nuclear membrane. The lamin family of proteins make up the matrix and are highly conserved in evolution. During mitosis, the lamina matrix is reversibly disassembled as the lamin proteins are phosphorylated. Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. Vertebrate lamins consist of two types, A and B. Alternative splicing results in multiple transcript variants. Mutations in this gene lead to several diseases: Emery-Dreifuss muscular dystrophy, familial partial lipodystrophy, limb girdle muscular dystrophy, dilated cardiomyopathy, Charcot-Marie-Tooth disease, and Hutchinson-Gilford progeria syndrome. [provided by RefSeq, May 2022]	Cardiomyopathy|Dilated cardiomyopathy 1A|Familial partial lipodystrophy, Dunnigan type|Hutchinson-Gilford syndrome|Mandibuloacral dysplasia with type A lipodystrophy|Lethal tight skin contracture syndrome|Charcot-Marie-Tooth disease type 2B1|Congenital muscular dystrophy due to LMNA mutation|Charcot-Marie-Tooth disease|Emery-Dreifuss muscular dystrophy|Charcot-Marie-Tooth disease type 2|Benign scapuloperoneal muscular dystrophy with cardiomyopathy|not specified|Cardiovascular phenotype|Lipoatrophy with Diabetes, Hepatic Steatosis, Hypertrophic Cardiomyopathy, and Leukomelanodermic Papules|Limb-Girdle Muscular Dystrophy, Recessive|not provided	criteria provided, multiple submitters, no conflicts	Benign	48048	https://www.ncbi.nlm.nih.gov/clinvar/variation/48048	rs4641 is located in chr1 chromosome with position 156137743 which is in the gene LMNA. This gene has the following description: The protein encoded by this gene is part of the nuclear lamina, a two-dimensional matrix of proteins located next to the inner nuclear membrane. The lamin family of proteins make up the matrix and are highly conserved in evolution. During mitosis, the lamina matrix is reversibly disassembled as the lamin proteins are phosphorylated. Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. Vertebrate lamins consist of two types, A and B. Alternative splicing results in multiple transcript variants. Mutations in this gene lead to several diseases: Emery-Dreifuss muscular dystrophy, familial partial lipodystrophy, limb girdle muscular dystrophy, dilated cardiomyopathy, Charcot-Marie-Tooth disease, and Hutchinson-Gilford progeria syndrome. [provided by RefSeq, May 2022] This SNP can be associated with Cardiomyopathy|Dilated cardiomyopathy 1A|Familial partial lipodystrophy, Dunnigan type|Hutchinson-Gilford syndrome|Mandibuloacral dysplasia with type A lipodystrophy|Lethal tight skin contracture syndrome|Charcot-Marie-Tooth disease type 2B1|Congenital muscular dystrophy due to LMNA mutation|Charcot-Marie-Tooth disease|Emery-Dreifuss muscular dystrophy|Charcot-Marie-Tooth disease type 2|Benign scapuloperoneal muscular dystrophy with cardiomyopathy|not specified|Cardiovascular phenotype|Lipoatrophy with Diabetes, Hepatic Steatosis, Hypertrophic Cardiomyopathy, and Leukomelanodermic Papules|Limb-Girdle Muscular Dystrophy, Recessive|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs4641has the following disease references: Human Phenotype Ontology:HP:0001638,MONDO:MONDO:0004994,MedGen:C0878544,Orphanet:ORPHA167848,SNOMED CT:85898001|MONDO:MONDO:0007269,MedGen:C1449563,OMIM:115200,Orphanet:ORPHA300751|MONDO:MONDO:0007906,MedGen:C1720860,OMIM:151660,Orphanet:ORPHA2348|MONDO:MONDO:0008310,MedGen:C0033300,OMIM:176670,Orphanet:ORPHA740,SNOMED CT:238870004|MONDO:MONDO:0009557,MedGen:C5399785,OMIM:248370,Orphanet:ORPHA90153|MONDO:MONDO:0010143,MedGen:C0406585,OMIM:275210,Orphanet:ORPHA1662,SNOMED CT:400128006|MONDO:MONDO:0011569,MedGen:C1854154,OMIM:605588,Orphanet:ORPHA98856|MONDO:MONDO:0013178,MedGen:C2750785,OMIM:613205,Orphanet:ORPHA157973|MONDO:MONDO:0015626,MedGen:C0007959,OMIM:PS118220,Orphanet:ORPHA166,SNOMED CT:50548001|MONDO:MONDO:0016830,MedGen:C0410189,OMIM:PS310300,Orphanet:ORPHA261,SNOMED CT:111508004|MONDO:MONDO:0018993,MedGen:C0270914,Orphanet:ORPHA64746|MONDO:MONDO:0021569,MedGen:C0410190,OMIM:181350,Orphanet:ORPHA264,SNOMED CT:240072005|MedGen:CN169374|MedGen:CN230736|MedGen:CN239184|MedGen:CN239352|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/48048
rs5882	chr16	56982180	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	Coronary artery disorder|Hyperalphalipoproteinemia 1|High density lipoprotein cholesterol level quantitative trait locus 10|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	17525	https://www.ncbi.nlm.nih.gov/clinvar/variation/17525	rs5882 is located in chr16 chromosome with position 56982180 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with Coronary artery disorder|Hyperalphalipoproteinemia 1|High density lipoprotein cholesterol level quantitative trait locus 10|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs5882has the following disease references: MONDO:MONDO:0005010,MeSH:D003324,MedGen:C1956346,SNOMED CT:414024009|MedGen:C3149462,OMIM:143470|MedGen:C3149463|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/17525
rs4946935	chr6	108679539	FOXO3	This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008]	not provided	criteria provided, single submitter	Benign	1277545	https://www.ncbi.nlm.nih.gov/clinvar/variation/1277545	rs4946935 is located in chr6 chromosome with position 108679539 which is in the gene FOXO3. This gene has the following description: This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs4946935has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1277545
rs1801282	chr3	12351626	PPARG	This gene encodes a member of the peroxisome proliferator-activated receptor (PPAR) subfamily of nuclear receptors. PPARs form heterodimers with retinoid X receptors (RXRs) and these heterodimers regulate transcription of various genes. Three subtypes of PPARs are known: PPAR-alpha, PPAR-delta, and PPAR-gamma. The protein encoded by this gene is PPAR-gamma and is a regulator of adipocyte differentiation. Additionally, PPAR-gamma has been implicated in the pathology of numerous diseases including obesity, diabetes, atherosclerosis and cancer. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Jul 2008]	Obesity|PPARG-related familial partial lipodystrophy|Diabetes Mellitus, Noninsulin-Dependent, with Acanthosis Nigricans and Hypertension|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign/Likely benign	130019	https://www.ncbi.nlm.nih.gov/clinvar/variation/130019	rs1801282 is located in chr3 chromosome with position 12351626 which is in the gene PPARG. This gene has the following description: This gene encodes a member of the peroxisome proliferator-activated receptor (PPAR) subfamily of nuclear receptors. PPARs form heterodimers with retinoid X receptors (RXRs) and these heterodimers regulate transcription of various genes. Three subtypes of PPARs are known: PPAR-alpha, PPAR-delta, and PPAR-gamma. The protein encoded by this gene is PPAR-gamma and is a regulator of adipocyte differentiation. Additionally, PPAR-gamma has been implicated in the pathology of numerous diseases including obesity, diabetes, atherosclerosis and cancer. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Jul 2008] This SNP can be associated with Obesity|PPARG-related familial partial lipodystrophy|Diabetes Mellitus, Noninsulin-Dependent, with Acanthosis Nigricans and Hypertension|not specified|not provided. Those associations have Benign/Likely benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1801282has the following disease references: Human Phenotype Ontology:HP:0001513,MONDO:MONDO:0011122,MeSH:D009765,MedGen:C0028754,OMIM:601665,SNOMED CT:414916001|MONDO:MONDO:0011448,MedGen:C1720861,OMIM:604367,Orphanet:ORPHA79083|MedGen:C4016738|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/130019
rs1333049	chr9	22125504	""		Three Vessel Coronary Disease	no assertion criteria provided	risk factor	812642	https://www.ncbi.nlm.nih.gov/clinvar/variation/812642	
rs2277509	chr14	91283251	CCDC88C	This gene encodes a ubiquitously expressed coiled-coil domain-containing protein that interacts with the dishevelled protein and is a negative regulator of the Wnt signalling pathway. The protein encoded by this gene has a PDZ-domain binding motif in its C-terminus with which it interacts with the dishevelled protein. Dishevelled is a scaffold protein involved in the regulation of the Wnt signaling pathway. The Wnt signaling pathway plays an important role in embryonic development, tissue maintenance, and cancer progression. Mutations in this gene cause autosomal recessive, primary non-syndromic congenital hydrocephalus; a condition characterized by excessive accumulation of cerebrospinal fluid in the ventricles of the brain. [provided by RefSeq, Jan 2013]	Hydrocephalus, nonsyndromic, autosomal recessive 1|Spinocerebellar ataxia type 40|not provided	criteria provided, multiple submitters, no conflicts	Benign	1192544	https://www.ncbi.nlm.nih.gov/clinvar/variation/1192544	rs2277509 is located in chr14 chromosome with position 91283251 which is in the gene CCDC88C. This gene has the following description: This gene encodes a ubiquitously expressed coiled-coil domain-containing protein that interacts with the dishevelled protein and is a negative regulator of the Wnt signalling pathway. The protein encoded by this gene has a PDZ-domain binding motif in its C-terminus with which it interacts with the dishevelled protein. Dishevelled is a scaffold protein involved in the regulation of the Wnt signaling pathway. The Wnt signaling pathway plays an important role in embryonic development, tissue maintenance, and cancer progression. Mutations in this gene cause autosomal recessive, primary non-syndromic congenital hydrocephalus; a condition characterized by excessive accumulation of cerebrospinal fluid in the ventricles of the brain. [provided by RefSeq, Jan 2013] This SNP can be associated with Hydrocephalus, nonsyndromic, autosomal recessive 1|Spinocerebellar ataxia type 40|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs2277509has the following disease references: MONDO:MONDO:0009360,MedGen:C3887608,OMIM:236600|MONDO:MONDO:0014475,MedGen:C4518336,OMIM:616053,Orphanet:ORPHA423275|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1192544
rs361525	chr6	31575324	TNF	This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, psoriasis, rheumatoid arthritis ankylosing spondylitis, tuberculosis, autosomal dominant polycystic kidney disease, and cancer. Mutations in this gene affect susceptibility to cerebral malaria, septic shock, and Alzheimer disease. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Aug 2020]	Susceptibility to severe coronavirus disease (COVID-19)|Susceptibility to severe coronavirus disease (COVID-19) due to high plasma levels of TNF, TNFR, and/or TNFR5	no assertion criteria provided	Uncertain significance	1048804	https://www.ncbi.nlm.nih.gov/clinvar/variation/1048804	rs361525 is located in chr6 chromosome with position 31575324 which is in the gene TNF. This gene has the following description: This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, psoriasis, rheumatoid arthritis ankylosing spondylitis, tuberculosis, autosomal dominant polycystic kidney disease, and cancer. Mutations in this gene affect susceptibility to cerebral malaria, septic shock, and Alzheimer disease. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Aug 2020] This SNP can be associated with Susceptibility to severe coronavirus disease (COVID-19)|Susceptibility to severe coronavirus disease (COVID-19) due to high plasma levels of TNF, TNFR, and/or TNFR5. Those associations have Uncertain significance clinical significance and have review status: no assertion criteria provided. rs361525has the following disease references: .|.. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1048804
rs4952085	chr2	31347823	XDH	Xanthine dehydrogenase belongs to the group of molybdenum-containing hydroxylases involved in the oxidative metabolism of purines. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Xanthine dehydrogenase can be converted to xanthine oxidase by reversible sulfhydryl oxidation or by irreversible proteolytic modification. Defects in xanthine dehydrogenase cause xanthinuria, may contribute to adult respiratory stress syndrome, and may potentiate influenza infection through an oxygen metabolite-dependent mechanism. [provided by RefSeq, Jan 2014]	not provided	criteria provided, single submitter	Benign	1238197	https://www.ncbi.nlm.nih.gov/clinvar/variation/1238197	rs4952085 is located in chr2 chromosome with position 31347823 which is in the gene XDH. This gene has the following description: Xanthine dehydrogenase belongs to the group of molybdenum-containing hydroxylases involved in the oxidative metabolism of purines. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Xanthine dehydrogenase can be converted to xanthine oxidase by reversible sulfhydryl oxidation or by irreversible proteolytic modification. Defects in xanthine dehydrogenase cause xanthinuria, may contribute to adult respiratory stress syndrome, and may potentiate influenza infection through an oxygen metabolite-dependent mechanism. [provided by RefSeq, Jan 2014] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs4952085has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1238197
rs1042718	chr5	148827354	ADRB2	This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This receptor is also a transcription regulator of the alpha-synuclein gene, and together, both genes are believed to be associated with risk of Parkinson&apos;s Disease. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity, type 2 diabetes and cardiovascular disease. [provided by RefSeq, Oct 2019]	not provided	criteria provided, single submitter	Benign	1264227	https://www.ncbi.nlm.nih.gov/clinvar/variation/1264227	rs1042718 is located in chr5 chromosome with position 148827354 which is in the gene ADRB2. This gene has the following description: This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This receptor is also a transcription regulator of the alpha-synuclein gene, and together, both genes are believed to be associated with risk of Parkinson&apos;s Disease. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity, type 2 diabetes and cardiovascular disease. [provided by RefSeq, Oct 2019] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs1042718has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1264227
rs1042719	chr5	148827884	ADRB2	This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This receptor is also a transcription regulator of the alpha-synuclein gene, and together, both genes are believed to be associated with risk of Parkinson&apos;s Disease. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity, type 2 diabetes and cardiovascular disease. [provided by RefSeq, Oct 2019]	not provided	criteria provided, single submitter	Benign	1236780	https://www.ncbi.nlm.nih.gov/clinvar/variation/1236780	rs1042719 is located in chr5 chromosome with position 148827884 which is in the gene ADRB2. This gene has the following description: This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This receptor is also a transcription regulator of the alpha-synuclein gene, and together, both genes are believed to be associated with risk of Parkinson&apos;s Disease. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity, type 2 diabetes and cardiovascular disease. [provided by RefSeq, Oct 2019] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs1042719has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1236780
rs405509	chr19	44905579	APOE	The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]	Warfarin response	no assertion criteria provided	drug response	619951	https://www.ncbi.nlm.nih.gov/clinvar/variation/619951	rs405509 is located in chr19 chromosome with position 44905579 which is in the gene APOE. This gene has the following description: The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016] This SNP can be associated with Warfarin response. Those associations have drug response clinical significance and have review status: no assertion criteria provided. rs405509has the following disease references: MONDO:MONDO:0007390,MedGen:C0750384,OMIM:122700. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/619951
